twotheta, yobs, ycal, bkg, diff
1.185000e+001,5.490000e+002,5.328483e+002,5.320972e+002,1.615175e+001
1.186000e+001,5.920000e+002,5.324881e+002,5.317360e+002,5.951185e+001
1.187000e+001,5.420000e+002,5.321283e+002,5.313750e+002,9.871680e+000
1.188000e+001,5.070000e+002,5.317688e+002,5.310144e+002,-2.476877e+001
1.189000e+001,5.670000e+002,5.314095e+002,5.306540e+002,3.559051e+001
1.190000e+001,4.860000e+002,5.310505e+002,5.302939e+002,-4.505049e+001
1.191000e+001,5.380000e+002,5.306918e+002,5.299341e+002,7.308236e+000
1.192000e+001,5.530000e+002,5.303333e+002,5.295746e+002,2.266669e+001
1.193000e+001,5.560000e+002,5.299751e+002,5.292153e+002,2.602486e+001
1.194000e+001,5.410000e+002,5.296172e+002,5.288563e+002,1.138276e+001
1.195000e+001,5.370000e+002,5.292596e+002,5.284976e+002,7.740383e+000
1.196000e+001,5.520000e+002,5.289023e+002,5.281391e+002,2.309773e+001
1.197000e+001,5.350000e+002,5.285452e+002,5.277809e+002,6.454805e+000
1.198000e+001,5.260000e+002,5.281884e+002,5.274230e+002,-2.188395e+000
1.199000e+001,5.610000e+002,5.278319e+002,5.270654e+002,3.316813e+001
1.200000e+001,4.960000e+002,5.274756e+002,5.267080e+002,-3.147562e+001
1.201000e+001,5.100000e+002,5.271196e+002,5.263509e+002,-1.711964e+001
1.202000e+001,5.410000e+002,5.267639e+002,5.259941e+002,1.423606e+001
1.203000e+001,4.960000e+002,5.264085e+002,5.256375e+002,-3.040851e+001
1.204000e+001,5.520000e+002,5.260534e+002,5.252812e+002,2.594664e+001
1.205000e+001,5.160000e+002,5.256985e+002,5.249252e+002,-9.698479e+000
1.206000e+001,5.590000e+002,5.253439e+002,5.245695e+002,3.365613e+001
1.207000e+001,5.160000e+002,5.249895e+002,5.242140e+002,-8.989538e+000
1.208000e+001,5.220000e+002,5.246355e+002,5.238588e+002,-2.635477e+000
1.209000e+001,5.370000e+002,5.242817e+002,5.235039e+002,1.271831e+001
1.210000e+001,5.220000e+002,5.239282e+002,5.231492e+002,-1.928175e+000
1.211000e+001,5.520000e+002,5.235749e+002,5.227948e+002,2.842507e+001
1.212000e+001,5.170000e+002,5.232220e+002,5.224407e+002,-6.221964e+000
1.213000e+001,5.380000e+002,5.228693e+002,5.220869e+002,1.513073e+001
1.214000e+001,5.390000e+002,5.225168e+002,5.217333e+002,1.648316e+001
1.215000e+001,5.270000e+002,5.221968e+002,5.213800e+002,4.803176e+000
1.216000e+001,5.140000e+002,5.218450e+002,5.210269e+002,-7.844959e+000
1.217000e+001,5.570000e+002,5.214934e+002,5.206742e+002,3.550663e+001
1.218000e+001,5.390000e+002,5.211420e+002,5.203217e+002,1.785795e+001
